firstName,middleName,lastName,socialSecurityNumber,dateOfBirth,postalAddress,phoneNumber,hireDate
Micheal,Amparo,Hollerman,859550980,December 11 1979,0 Starling Lane BELLVILLE Texas 33966,495587376,July 25 2013
Raye,Guillermo,Debouse,900271358,February 27 1952,0 Shunka Road @ Red Bird Road NEW ULM Texas 20009,236145908,December 12 1999
Damion,Autumn,Reges,751231891,January 30 1989,   Texas 74927,443496462,July 11 2007
Loreta,Laure,Bynon,913039665,December 14 1964,11275 Highway 159 West BELLVILLE Texas 37861,529277891,November 5 1997
Jean,Margo,Kulka,986886562,September 13 1959,   Texas 25563,406050294,April 16 2007
Otha,Maryjane,Montaivo,123567065,December 21 1967,11513 Hahn Road SEALY Texas 41447,956119986,June 25 2015
Terry,Diana,Bybee,955080353,May 23 1980,0 Fm 1094  Texas 28061,372340658,March 24 1993
Tobi,Tanner,Mailliard,557362338,March 28 1956,1053 East Main Street BELLVILLE Texas 42313,812452027,September 3 2014
Marcelino,Romana,Worlow,933940079,November 5 1976,5351 Colony Drive   Texas 25284,449607540,June 2 1995
Loma,Monnie,Benyo,803856864,May 13 1986,   Texas 49020,934668225,April 19 1999
Lamar,Suanne,Frampton,128726134,January 13 1988,30 North Granville Street BELLVILLE Texas 36362,775154934,October 2 1991
Arturo,Connie,Mossel,955430088,January 10 1978,5548 Highway 36 SEALY Texas 23379,758673801,February 12 2007
Kent,Blake,Tillotson,786681418,October 19 1994,1719 Eagle Lake Road  Texas 60444,241321777,November 13 2001
Johnie,Melonie,Dziuban,323210262,June 24 1955,3503 Quail Circle SEALY Texas 66673,958410061,November 1 2004
Peter,Nona,Fotopoulos,224728128,January 8 1963,2200 Lauren Lane SEALY Texas 99640,536613837,June 20 1999
Alan,Jill,Rendle,917265345,February 12 1989,7475 Galle Lane NEW ULM Texas 11675,778195719,October 25 1998
Brittni,Carroll,Ostenberg,612928542,October 22 1992,17358 Hinkel Road CAT SPRING Texas 70109,314837417,November 15 2000
Selena,Mayme,Dierkes,221627258,March 12 1953,0 Theldick Lane  Texas 58583,177177728,November 18 2006
Caterina,Kimiko,Rosie,706837162,February 12 1968,13587 Fm 1458 SAN FELIPE Texas 68587,550255046,January 28 2016
Jesus,Reba,Chieffo,137171242,April 1 1994,1019 Pecan Ridge Lane SEALY Texas 86297,247541095,June 1 1998
Nicole,Loria,Mcilwain,368951799,November 22 1975,0 Pyka Road  Texas 29925,442380483,April 15 1990
Cheryll,Danelle,Landfair,107798439,September 2 1970,0 Highway 36  Texas 22462,550052225,November 2 1994
Caren,Scott,Cendana,515860722,August 21 1970,193 Kamas Street BELLVILLE Texas 45891,431955927,February 1 2011
Elane,Alfredia,Wach,348677638,February 8 1986,322 South Holland Street BELLVILLE Texas 37504,103757232,August 12 1998
Lance,Brittani,Kossen,549262735,January 5 1976,711 South Masonic Street BELLVILLE Texas 13188,748754594,September 7 2007
Shaina,Esteban,Cushway,906466307,April 15 1968,804 Silliman Street SEALY Texas 67067,942416593,January 15 2016
Lawana,Margene,Oller,800122090,April 8 1986,5610 Gresham Street WALLIS Texas 88158,661913701,August 30 1988
Lindsay,Arlen,Thissen,158360064,January 4 1973,0 Kiemsteadt Road  Texas 59569,603160659,May 7 2007
Stephane,Josephina,Pestana,233564222,May 14 1976,   Texas 80626,860247361,August 1 2007
Gabriele,Amada,Legel,293361551,March 1 1977,0 Willow Road WALLIS Texas 48150,285961450,August 12 1989
Malka,Shenika,Klabunde,223914197,December 3 1954,10819 Swearingen Road SEALY Texas 40876,580077164,December 25 1995
Cristen,Kelsi,Yetto,870100554,December 6 1950,0 Spiess Road  Texas 49810,132340054,July 5 1989
Elvera,Martina,Hackerott,534154722,September 21 1959,9837 Tegeler Road  Texas 82684,184147770,May 4 2015
Dann,Shayna,Mahony,751597791,July 2 1955,124 Second Street SEALY Texas 15540,133207697,March 10 1991
Thalia,Shanita,Duplantis,290102133,May 27 1955,7523 Ernst Parkway INDUSTRY Texas 44819,400700826,September 19 2008
Fransisca,Nella,Clery,330207360,August 22 1965,16801 Fordtran Boulevard INDUSTRY Texas 29319,327248629,February 24 2010
Julio,Kenneth,Sauage,368270593,April 22 1977,7282 North Fm 2502 BRENHAM Texas 51647,566234340,August 7 2008
Ken,Marc,App,263193643,August 24 1952,600 Piney Creek Road BELLVILLE Texas 57164,679614027,November 18 2009
Devon,Norris,Reinard,257657586,November 4 1973,3255 Scranton Grove Road BELLVILLE Texas 65702,499289980,July 24 1992
Jesusita,William,Aguas,389532962,January 25 1989,4805 Johnson Lane BELLVILLE Texas 70170,496159475,October 1 2015
Tressie,Mariko,Redding,772917681,September 11 1988,5680 Stokes Road  Texas 66633,122129777,December 20 1990
Annie,Veronica,Clavin,626051310,May 3 1970,0 Fm 529 (Off Of) BELLVILLE Texas 23643,189716832,May 23 1998
Cherise,Jerry,Pierre,301412261,May 24 1967,108 Douglas Drive BELLVILLE Texas 99408,359677614,June 25 1997
Pamela,Anderson,Veals,191327889,October 10 1962,10254 Hoff Road BELLVILLE Texas 32776,554073437,April 3 2014
Sheree,Dinorah,Cocherell,244683628,June 12 1964,1152 Track Road West NEW ULM Texas 52400,683827451,December 3 2001
Patrick,Marya,Lansford,360255339,December 8 1977,0 South Tesch Road BELLVILLE Texas 49617,649003277,June 12 2012
Maryellen,Chase,Borman,849695964,July 4 1983,5223 Fm 1456 BELLVILLE Texas 62877,350322012,November 21 1997
Erik,Lyle,Lotson,953039689,December 9 1971,   Texas 95694,359860642,April 6 2006
Burl,Lillie,Baroody,923839881,August 22 1952,17 East Main Street BELLVILLE Texas 62995,544980660,May 10 1996
Stephen,Brenda,Swedberg,937966433,September 16 1971,16416 Fordtran Boulevard INDUSTRY Texas 45139,470347732,February 25 2015
Shizue,Kiera,Eiselein,745779270,May 5 1996,0 Mixville Road  Texas 55679,127136452,November 27 2006
Vincenzo,Ghislaine,Hearin,316614927,January 26 1981,2868 Cemetery Road  Texas 68436,602983376,January 5 2004
Ronnie,Lue,Arbo,850732952,November 8 1973,0 Warmke Road  Texas 23545,727705012,December 20 2003
Carrol,Delcie,Katra,938469246,July 28 1980,0 Johnston Road WALLIS Texas 42365,112845229,April 1 2005
Tamika,Chun,Marcks,311169477,April 16 1975,2770 River Bend Lane SEALY Texas 19402,335260001,April 25 1989
Scottie,Marica,Nesin,995084234,July 13 1973,0 Rexville Road @ Kloecker Road  Texas 65852,614089079,November 29 1994
Tom,Jacinda,Mingledorff,103031478,March 13 1992,0 Century Lane BELLVILLE Texas 57956,829680724,May 17 2013
Myrtle,Rosaura,Angviano,494094180,September 5 1970,204 San Felipe Road SEALY Texas 39347,121754721,October 1 1990
Monnie,Julius,Reineccius,342812477,October 4 1996,4329 Baron De Bastrop Street SAN FELIPE Texas 31293,804151294,May 25 2014
Zofia,Lonnie,Muskthel,443308154,October 18 1982,23758 Squirrel Road NEW ULM Texas 10306,273078885,January 12 2006
Edward,Marti,Reauish,374836373,July 26 1965,2002 Angel Cove Lane SEALY Texas 46941,343250149,April 16 1996
Lyn,Katherina,Gariety,853767548,March 15 1985,0 Beckendorff Road SEALY Texas 23987,771019067,June 27 1996
Evette,German,Billot,452132009,April 6 1978,0 Fm 2502 BELLVILLE Texas 85107,799234324,March 30 2000
Angella,Frederica,Demoya,527734483,July 21 1981,   Texas 55211,659448398,June 4 2014
Sung,Janice,Begen,382978746,July 10 1996,0 6th Street  Texas 19624,167992514,December 19 1990
Tawnya,Gaylord,Ilacqua,548855497,September 11 1959,2972 Fm 529 BELLVILLE Texas 87157,284457000,May 14 2005
Josh,Marcela,Quaglieri,351591692,April 16 1959,0 Miller Road  Texas 55755,109048594,May 24 1990
Kenia,Zula,Quillman,563864761,May 22 1956,0 Highway 36 North  Texas 30549,832764017,October 21 2004
Loretta,Jacinda,Zafar,582020442,April 14 1958,0 Cougar Road  Texas 43004,564917067,August 6 2007
Celesta,Kizzie,Savant,200751163,June 27 1967,8764 Fm 529 BELLVILLE Texas 94642,228226667,November 17 2009
Antonio,Ernestine,Touchet,214094342,January 16 1984,0   Texas 45264,809453269,March 15 2003
Dana,Nicholle,Schiro,730851303,February 15 1989,5051 San Felipe Drive  Texas 47702,746079127,March 22 2006
Michiko,Evia,Gerardo,337539760,June 2 1967,3199 Ward Bend Road SEALY Texas 56772,723951204,September 17 1994
Verlene,Arlene,Pospishil,961315935,July 18 1950,0 Rexville Road SEALY Texas 82850,905539314,January 2 2011
Consuelo,Dorthy,Henkin,872036523,November 16 1965,6023 Rogers Street WALLIS Texas 85577,455907405,November 16 2001
Carolina,Angele,Giesen,960242679,August 20 1965,2601 Highway 159 West BELLVILLE Texas 87381,481911380,January 7 1986
Jarod,Abby,Lichtenstein,647225016,October 9 1954,1013 Old Highway 36 Road  Texas 36368,736810556,September 10 2013
Duncan,Lila,Hoffelmeyer,625819741,November 29 1958,5908 Stokes Road BELLVILLE Texas 73282,944855200,October 1 1994
Lupita,Chrystal,Grunow,686215849,April 13 1988,310 Overcreek Way SEALY Texas 98990,411196637,September 3 2009
Brandi,Jacquelin,Freydel,330369032,October 13 1970,   Texas 20479,359093306,January 16 1997
Doretta,Reggie,Tarling,511116291,May 25 1981,0 Highway 159  Texas 34769,784622891,October 7 1992
Alverta,Kym,Bouret,803435992,September 20 1955,3983 Wiecker Road BELLVILLE Texas 95431,254922986,August 21 1991
Morgan,Galina,Vanvalkenburg,400041649,February 19 1988,0 South Fm 331 SEALY Texas 59438,219198647,May 10 1998
Cecille,Ozie,Starkes,979205808,January 5 1953,0 Saha Road  Texas 27543,989375025,March 23 2001
Clint,Marilee,Letchworth,436025965,October 28 1988,919 Meyer Street SEALY Texas 33252,963837859,January 9 2001
Carlena,Easter,Stach,372632173,January 27 1972,0 Hartman Lane  Texas 37159,824027822,April 8 1992
Wanetta,Else,Vyhnal,801629387,January 11 1954,3677 Reinhardt Road BELLVILLE Texas 57479,285377899,April 30 2015
Arlen,Violette,Rodan,376777462,February 19 1961,829 2nd Street SEALY Texas 97963,465099315,September 25 1986
Albina,Evelia,Pecue,614735962,April 6 1957,324 Columbus Road SEALY Texas 43359,484990062,December 29 1985
Alysa,Alethea,Zide,687956444,September 24 1987,0 Main Street SEALY Texas 85689,966691987,April 22 2005
Nana,Tula,Sieving,545362352,June 16 1972,0 West Fm 1093 WALLIS Texas 88611,721672603,May 4 1998
Francina,Daniella,Stonis,173260048,March 19 1980,380 Meadowlark Circle SEALY Texas 75193,133585605,April 2 2005
Rachal,Charlesetta,Brass,348010442,December 7 1959,0 Turnbow Road INDUSTRY Texas 16433,386792553,November 25 1987
Theresa,Candi,Finster,340756712,November 11 1960,11969 Jalowy Road  Texas 41104,868826230,September 12 1992
Lilliana,Delois,Kaminsky,135383563,July 2 1962,0 Fm 1458 SEALY Texas 38571,857284348,June 12 1985
Rona,Juliann,Rathel,460914546,October 2 1976,1621 Tomlinson Road WALLIS Texas 19163,560050946,February 1 2004
Dane,Yuette,Bergant,876779255,October 20 1967,0 Campo Santo Street  Texas 73426,612823651,November 22 2014
Milo,Daphine,Bardin,709278081,June 28 1967,939 Old Nelsonville Road BELLVILLE Texas 27680,551958302,October 4 2012
Felipa,Scott,Lepinski,946234573,October 29 1964,3594 Star Hill Road NEW ULM Texas 90432,507604013,September 7 2016
Jesse,Anna,Bartle,256830110,September 2 1958,   Texas 61550,598962184,May 16 2006
Sherryl,Brandee,Kammerzell,363039177,July 11 1967,1146 Pecan Ridge Lane SEALY Texas 46219,699729587,October 18 2008
Cassidy,Louise,Mcgarey,763370082,May 4 1963,679 West Austin Street BELLVILLE Texas 76533,768669863,October 11 2011
Amado,Shaun,Hemesath,250486697,October 25 1979,2879 Highway 36 South SEALY Texas 86689,431104516,May 9 1986
Linda,Gilma,Cendan,229179416,September 28 1958,7238 Gramy Road SEALY Texas 63856,583655480,September 1 2011
Martine,Kam,Lineman,401085672,October 27 1985,11801 Highway 159 West BELLVILLE Texas 72397,424400971,February 17 1997
Marine,Yolande,Leck,715695174,November 4 1968,0 Coufal Road (Off Of) WALLIS Texas 65868,354750951,August 12 1992
Jeanmarie,Tabetha,Fratus,239714079,November 21 1994,312 West Glenn Street BELLVILLE Texas 85085,888504296,January 29 1990
Minna,Sheree,Callison,252285884,June 27 1961,1918 Settlers Way SEALY Texas 92121,505875030,November 15 1996
Bethann,Natalya,Gillians,255630099,April 12 1997,0 New Bremen Road NEW ULM Texas 28319,252991078,November 5 2010
Amelia,Leeanna,Grado,734865152,November 27 1980,0 Stalmach Road NEW ULM Texas 92640,298835891,April 5 2010
Emelina,Brigette,Barak,763537167,February 22 1958,   Texas 39666,249852488,April 21 1987
Connie,Lonna,Rheingans,485274718,February 22 1968,0 Buenger Road  Texas 25702,890574901,June 2 1990
Kerstin,Kathe,Carpenter,910173296,March 13 1955,   Texas 40432,626929106,April 25 2015
Peggie,Ramiro,Bencomo,856342143,December 11 1982,1127 West Front Street SEALY Texas 91615,547413048,July 29 2006
Latoya,Harriette,Hariri,271718852,September 19 1960,237 South Lantana Circle SEALY Texas 58481,173410097,February 23 1994
Twana,Anneliese,Hendler,825428309,November 16 1991,0 Blue Topaz Drive BELLVILLE Texas 60865,276893855,November 23 1987
Olympia,Autumn,Gilmer,467697605,September 28 1964,0 Houston Street  Texas 82016,310241941,August 11 1986
Hai,Pearlene,Bramer,444226377,April 9 1986,1875 Schoenau Road NEW ULM Texas 14738,342104489,January 6 1988
Salvatore,Paul,Vanhee,926424217,September 1 1996,12909 Sawmill Road  Texas 86488,305298171,September 24 1985
Mimi,Ruthanne,Buss,190588088,February 2 1987,20 South Mechanic BELLVILLE Texas 42897,893654682,January 7 1996
Myrta,Josefa,Amador,176306536,November 19 1977,0 Dierking Road BRENHAM Texas 32053,808532774,January 23 2002
Yu,Odette,Innis,571212610,May 27 1961,4330 Holly Lane BELLVILLE Texas 35238,286991406,September 16 2015
Shandra,Arlyne,Hillyer,155759426,March 12 1977,6688 Shelby Road  Texas 26492,120857782,December 29 1997
Renato,Mayola,Rucky,735043644,October 30 1953,115 South 3rd Street WALLIS Texas 33105,467055839,June 18 2013
Tien,Jutta,Sora,654881975,February 16 1955,782 Maler Road SEALY Texas 34533,252875141,November 26 1997
Carey,Serina,Arnwine,795032491,April 15 1952,8672 Post Oak Point Road NEW ULM Texas 77213,266513725,June 6 1995
Stefanie,Camellia,English,645583558,December 25 1957,2219 Kiemsteadt Road CHAPPELL HILL Texas 52474,547513128,October 4 1989
Alane,Aubrey,Kupiec,300321737,July 31 1968,0 Jones-Wilke Road CHAPPELL HILL Texas 99443,819414638,March 10 1995
Carlo,Debera,Brannon,168145755,June 27 1963,0 Steck Bottom Road  Texas 40352,621666557,June 14 2015
Mazie,Stephine,Hirschmann,717610502,January 17 1987,0 Scroggins Road WALLIS Texas 32346,779102781,August 8 2012
Marisha,Terina,Berentson,314341135,May 24 1959,0 Scooter Lane  Texas 58329,674652853,June 10 1989
Kelsie,Willetta,Rebillard,946135861,August 8 1996,0 Kersten Road SEALY Texas 31540,510887768,June 5 2005
Jae,Nadene,Nahass,346703247,August 31 1970,7755 Falcon Lane BELLVILLE Texas 99999,150145412,November 15 2004
Wanda,Tamisha,Armesto,717945673,August 7 1969,0 Fm 1458 SEALY Texas 11048,318208358,December 6 1999
Winnie,Nichelle,Bouvia,485292582,July 13 1964,838 4th Street SEALY Texas 60910,768641199,September 22 1996
Ron,Almeta,Dewyer,397479837,March 18 1964,13315 Lake Road  Texas 72611,441035968,December 21 1995
Suzi,Ricarda,Corza,265713895,June 15 1956,11479 Fm 949 CAT SPRING Texas 33429,750810314,December 28 1995
Shenita,Shaquita,Drye,251392248,February 22 1950,1629 Peters San Felipe Road SEALY Texas 95666,220761432,October 19 1994
Leonia,Nam,Kittell,862022984,November 1 1986,16292 Sycamore Road CAT SPRING Texas 39324,670544201,December 26 2007
Merna,Alanna,Girvan,681446205,September 14 1972,3677 Reinhardt Road BELLVILLE Texas 32194,463916668,May 22 1991
Janet,Mila,Redmon,985773939,June 5 1974,0 Korthauer Road  Texas 53905,538391374,October 22 2003
Kermit,Marian,Cartwright,806546759,June 30 1980,623 Westview Terrace Circle SEALY Texas 58372,813367211,December 30 2004
Callie,Douglass,Tsemetzis,426488982,April 13 1962,315 North Hardeman Street SEALY Texas 22678,760503406,May 17 1994
Asa,Billye,Battles,411822892,November 23 1968,807 Red Deer Court   Texas 64701,579079114,October 1 2005
Billie,Nettie,Tussing,121413992,February 16 1975,1410 South Circle Street SEALY Texas 75220,820307581,April 28 1990
Fletcher,Omar,Jointer,706359802,January 16 1987,430 Legion Road WALLIS Texas 26068,418652185,July 9 2005
Tyisha,Raymonde,Diemert,514117345,March 28 1988,   Texas 55900,825911991,August 3 2009
Tiffany,Dwight,Besch,510869759,April 29 1971,5332 Skull Creek Road FAYETTVILLE Texas 99627,841403465,July 10 1997
Audie,Theodora,Righetti,736304916,June 2 1982,   Texas 86449,277705083,April 1 1990
Mao,Leigh,Maciver,532375689,February 22 1957,   Texas 59018,938193037,April 3 1985
Hope,Fae,Unglaub,977597557,April 24 1959,0 Front Street  Texas 17882,770646467,May 1 1998
Maria,Myrtis,Keitsock,135898510,May 27 1959,   Texas 59671,785166666,August 12 2010
Wesley,Le,Eacret,969831993,April 25 1992,0 Steck Bottom Rd(Off Of)  Texas 35345,623206095,November 8 1993
Danilo,Marilou,Eader,440163353,September 15 1980,833 Columbus Road SEALY Texas 49000,104333426,May 30 1998
Jannet,Tashina,Shearon,630014912,June 4 1966,9275 Kloss Road CAT SPRING Texas 57994,149579064,April 11 2002
Yolande,Dorathy,Nilsen,803377850,March 30 1976,2212 Fm 1456 BELLVILLE Texas 73253,382033789,December 16 2003
Jessi,Jennefer,Tomspon,677138939,February 11 1972,1133 Main Street INDUSTRY Texas 60683,779408304,December 27 1986
Lacresha,Tammara,Mezzatesta,820036758,March 4 1973,1300 Kenney Hall Road KENNEY Texas 76515,190949705,February 26 1991
Alise,Sheri,Jackowski,558849363,February 8 1957,   Texas 56015,706444228,October 19 2008
Hildegard,Lindsey,Julio,275257945,November 25 1970,23032 Oak Road NEW ULM Texas 37723,348865823,February 16 1997
Hilde,Eugena,Mandel,714059538,March 23 1982,1535 South Circle Street SEALY Texas 35136,476959883,September 26 1988
France,Jayne,Rochholz,440073903,September 1 1966,3092 Meier Road South SEALY Texas 75047,592854363,December 10 2005
Pamella,Suzie,Hesler,325119238,July 6 1968,1621 Substation Road SEALY Texas 86712,533854820,April 23 2011
Elyse,Randall,Murdy,291056048,February 23 1951,5803 Fannin Street  Texas 39099,789300477,April 4 1989
Gennie,Felicia,Lammert,719546129,June 16 1993,7011 Westfront Street WALLIS Texas 43839,822695299,September 4 1993
Donella,Carlena,Ricaud,588227856,July 13 1991,1074 Klatt Lane SEALY Texas 23509,325030742,January 7 1991
Aracelis,Diedre,Venhorst,406577880,April 2 1977,   Texas 63667,361861487,June 12 2004
Nanci,Troy,Baek,894967903,August 27 1951,0 Krause Road  Texas 83444,993004482,April 6 1989
Thanh,Alyce,Fetner,841270737,March 25 1980,0 Krebs Road  Texas 99491,336852387,August 21 2006
Tessa,Ying,Belon,506984095,July 5 1964,1053 Fisher Road BELLVILLE Texas 95817,156271079,September 30 1991
Blanch,Ivana,Buckland,310375352,December 10 1984,430 Sikes Road BELLVILLE Texas 37487,315921321,December 12 1996
Jesus,Sau,Melone,619867055,April 2 1952,0 Peters San Felipe Road SEALY Texas 53836,728312078,February 24 1996
Ciera,Valencia,Lebsock,715015745,January 29 1979,12010 Fm 1094 SEALY Texas 52741,603801095,December 28 2004
Merle,Damion,Cregar,387553100,April 8 1980,9541 Korthauer Road   Texas 89055,477043845,October 22 2000
Adelaide,Jeni,Straseskie,568976022,April 19 1956,4143 Ward Bend Road SEALY Texas 71326,466489552,October 16 2016
Sharyn,Shantay,Wissman,549526852,February 3 1991,9498 Kulow Road SEALY  Texas 45568,847655761,January 20 2014
Delbert,Tula,Bliss,245287615,May 12 1973,23981 New Bremen Road NEW ULM Texas 26704,222999780,May 1 2014
Alica,Cara,Bayani,860997554,December 13 1985,0 Kersten Road SEALY Texas 18883,508545548,May 31 1997
Mariam,Camila,Speelman,943376633,March 10 1961,0 Plum Creek Road @ Fm 1094 SEALY Texas 21513,120670647,January 23 2010
Lovetta,Pablo,Ginter,486747764,June 18 1975,1621 Substation Road SEALY Texas 40427,280761875,January 21 1991
Lisandra,Luci,Lauderman,843278694,April 1 1971,1521 Willow Road WALLIS Texas 36716,586054749,June 27 1998
Jeannine,Zack,Pates,390978533,June 11 1951,   Texas 12743,888895586,July 11 2000
Irina,Lory,Berdy,489799023,November 4 1975,   Texas 53268,981462901,August 10 2010
Tatum,Brendon,Hershfield,508295108,November 21 1975,0 Peters San Felipe Road (Off Of) SEALY Texas 38960,118025017,September 11 2004
Dong,Lyda,Matice,758868233,March 11 1966,2058 Sally Gail Lane SEALY Texas 60915,241794104,January 29 2006
Alexis,Mari,Shatz,136965534,December 30 1955,6170 Schoenau Road BRENHAM Texas 57961,423312145,July 18 1994
Wai,Elinor,Loron,900034515,November 30 1966,414 South Bell Street BELLVILLE Texas 70732,422103170,June 24 2016
Jaime,Sheryll,Bombardier,987649893,May 13 1976,513 North Holland Street BELLVILLE Texas 77219,385791486,July 19 1998
Sasha,Abram,Chier,995795228,August 14 1997,8414 Bermuda Street INDUSTRY Texas 63872,744177091,February 6 2004
Claretha,Keira,Silbernagel,917789688,December 21 1962,1038 Trenckmann Road SEALY Texas 43126,257860703,December 30 2002
An,Deanne,Lelle,801497089,February 5 1963,0 Sealy Road  Texas 67081,491866273,April 7 1992
Michel,Loretta,Penson,713548443,March 20 1964,17654 Fordtran Boulevard INDUSTRY Texas 41905,386473738,April 15 1998
Jeannie,Cherlyn,Eichberg,823452426,October 26 1990,2493 Settlers Way Drive SEALY Texas 94334,507645345,September 9 1989
Shirleen,Jacklyn,Lampi,763330524,June 13 1969,6409 South Sycamore Crossing Road BELLVILLE Texas 27072,330995832,November 18 2010
Otto,Candance,Topinka,400795282,May 1 1978,10382 Fm 2187 CAT SPRING Texas 24143,185395900,September 22 1990
Burton,Sherise,Bernon,826133684,July 14 1966,229 Hill Street SEALY Texas 64820,919483761,December 23 2001
Toi,Vera,Zaucha,894941873,June 15 1991,516 South Front Street BELLVILLE Texas 69177,621182205,August 27 1995
Antonia,Rana,Prothro,396910970,November 8 1971,1578 Orange Hill Road SEALY Texas 50405,773620500,November 6 1985
Darleen,Launa,Somdah,474262408,September 9 1985,0 Rock House Road  Texas 11826,770241739,May 23 1995
Oralia,Oretha,Raymond,433264149,April 11 1992,   Texas 14284,413915039,November 14 2005
Cory,Madlyn,Gavett,749098818,January 3 1994,   Texas 98878,595882136,January 9 2004
Audry,Kala,Krase,542636112,April 6 1960,0 Mill Creek Road (Off Of)  Texas 49869,566766744,October 27 1994
Marcus,Susie,Bek,550388321,November 27 1969,3482 Lazy River Drive SEALY Texas 95706,776750419,January 18 2007
Wesley,Luann,Loendorf,757123882,November 4 1969,0 Bernard Road NEW ULM Texas 27599,390719169,November 3 1999
Angeles,Corliss,Cortese,214132457,October 23 1977,9500 Highway 36 North BELLVILLE Texas 75199,841241888,August 6 1987
Kenyatta,Mona,Standlee,300445908,March 6 1954,433 North Granville Street BELLVILLE Texas 35829,926254475,November 20 2009
Hilario,Slyvia,Mercurio,792474740,April 28 1986,4128 Highway 159 West (Off Of) BELLVILLE Texas 56382,110804819,November 6 1996
Elenore,Margene,Bloeser,595749398,May 20 1967,5533 Front Street  Texas 94724,530814479,February 14 1993
Cherise,Mauricio,Cozzi,942348127,December 16 1956,0 Mill Creek Road (Off Of) CAT SPRING Texas 99386,182670131,May 20 2000
Louie,Hortensia,Swartzman,777062473,March 24 1973,2559 Highway 36 North BELLVILLE Texas 87854,465815124,August 31 2013
Gina,Erich,Daron,475090323,July 12 1966,626 West Hacienda Road BELLVILLE Texas 36624,653129767,November 13 1989
Alesha,Whitney,Fairbanks,865437541,June 6 1970,9528 Baranowski Bush Road BELLVILLE Texas 79135,456130098,April 15 2011
Refugio,Abdul,Konopka,889107148,March 31 1966,840 Rockhouse Road NEW ULM Texas 18947,646872957,January 28 1992
Lincoln,Ayana,Montejo,703297695,July 27 1966,11833 Track Road East CAT SPRING Texas 82782,494169786,June 29 2008
Wesley,Winnifred,Juneau,855030267,July 4 1989,3077 River Road  Texas 21976,658979339,September 19 1995
Millard,Abigail,Vaupel,518220631,March 27 1975,15030 Turnbow Road INDUSTRY Texas 97312,933031345,June 29 2006
Walton,Lennie,Centanni,804746763,November 1 1980,   Texas 93044,952807556,August 31 2005
Alberta,Genoveva,Skalicky,307346866,April 28 1965,0 Johnston Road WALLIS Texas 33694,327431313,July 29 1985
Lanita,Miranda,Merkl,466489642,October 22 1997,1420 Tauber Lane SEALY Texas 47260,768993515,April 16 2011
