firstName,middleName,lastName,socialSecurityNumber,dob,street,city,state,zip,hireDate,phoneNumber,contactName,relation,emergencyPhoneNumber
Frida,Paulina,Carp,859304033,May 28 1964,604 Fowlkes Street,TIONA,NY,13811,June 7 1985,619527197,Robbie Ferrall,sibling,631712232
Willian,Kenda,Janson,451701750,June 28 1968,7364 Highway 36 North,GRAHAM,FL,32042,June 22 2015,229365834,Mamie Needam,sibling,142530980
Willena,Alexandra,Leitman,803403402,December 28 1984, ,CHASE PACKAGING INC,NC,27322,October 12 1993,786853526,Earle Deever,spouse,698902905
Kiara,Shawnee,Guess,422764498,May 18 1958,403 Mechanic Street,FORT LAUDERDALE,FL,33314,January 9 1993,624755424,Jackqueline Ohlson,friend,924223487
Lavina,Nelson,Tsosie,446737719,February 25 1965,5691 Pioneer Trail,HTFD,CT,6109,August 5 1988,200183062,Ying Slight,friend,624458029
Cleotilde,Warner,Marcum,543944201,April 23 1987,102 Sunset Avenue,PHILADELPHIA,PA,19122,September 22 2016,718904743,Claude Broome,friend,362576912
Inge,Idalia,Boddy,937971487,August 3 1995,728 7th Street,ARGYLE,IA,52625,March 1 2003,308357506,Branden Baires,spouse,876823383
Joan,Makeda,Shima,400197822,September 15 1979,856 Highway 90 East,TYRO,KS,67364,April 22 2004,813741852,Emmie Gosney,friend,710169406
Zora,Chasidy,Detro,337633327,May 17 1959,201 Westview Drive,MUSCLE SHOALS,AL,35662,October 6 1988,737417197,Mariann Faske,spouse,286230418
Gilda,Tobi,Jessie,903477446,September 16 1989,19913 Villanova Lane,TRAMMELLS,TX,77045,May 8 1991,350589018,Corine Knack,spouse,679396898
Laticia,Elicia,Lopiccolo,446671313,April 20 1991,0 Frantz Road (Off Of),FORAKER,IN,46526,December 21 2005,116174163,Shannon Chari,spouse,525816394
Pauline,Buck,Krakowsky,369043637,July 15 1986,208 North Front Street,NY CITY,NY,10027,October 11 1996,166276582,Mirian Harding,child,301223344
Landon,Lasandra,Papalia,511219231,April 10 1990,0 New Bremen Road,OAKLEY,MI,48649,January 6 1991,476533808,Jessia Snowberger,spouse,627731467
Asha,Mildred,Ipsen,125292507,April 20 1973,526 5th Street,LEABURG,OR,97489,June 14 2001,259433959,Julianna Estwick,other,812761543
Valentine,Oda,Martins,168924621,September 21 1973,0 Highway 36,PUBLISHERS CLEARING HOUSE,CT,6493,July 14 1989,637162363,Lolita Shamas,extended family,794172328
Ryan,Latashia,Eugley,157698874,December 6 1967, ,SPRINGFIELD,MO,65897,January 9 2014,823657171,Libby Konz,extended family,127190872
Rico,Tamera,Dehay,982384484,January 13 1976,9397 Buckhorn Estates Road,SHAWNEE MISSION,KS,66215,March 10 1989,601435548,Woodrow Filby,extended family,860094399
Verline,Latarsha,Falcone,320369416,August 26 1951,0 West Ueckert Road,ROZET,WY,82727,June 9 2005,157971421,Clorinda Ryner,friend,113318200
Truman,Lilly,Fowlkes,397973953,April 22 1979,5731 Wild Flower Road,PT ORCHARD,WA,98366,October 23 2008,749301955,Laquanda Simpson,other,232645923
Han,Liz,Panameno,459025392,September 2 1974,9804 Fm 2502 North,FORT WASHAKIE,WY,82514,September 4 1988,983807387,Lakia Boyance,other,422648572
Corie,Donovan,Nussbaum,337403951,January 8 1959,2090 Fm 1094,MORENO VALLEY,CA,92554,November 8 2013,223555861,Cicely Schmick,other,858562414
Leone,Marcy,Kipper,111858967,April 19 1959, ,SPIRIT FALLS,WI,54564,November 17 1985,792237636,Loma Hinaman,parent,275424720
Rosario,Rolando,Nied,661913822,January 29 1976,1914 Cunningham Road,LAS VEGAS,NV,89177,September 12 2000,410774958,Roseanne Handwerk,other,752222241
Prince,Logan,Gammage,960431402,August 13 1967,981 Bartlett Road,BOOTHWYN,PA,19061,January 30 1993,999554390,Ramona Gilchrest,friend,503424651
Marilynn,Denny,Tinnea,680739741,March 7 1970,0 Lynn Road,SKILLMAN,NJ,8558,May 25 1991,288514829,Brittaney Muzio,other,887094967
Lyla,Ethyl,Lalich,823342809,June 10 1991, ,WASH,NC,27889,June 21 1995,285933658,Angele Hillebrandt,spouse,744518414
Rocky,Saul,Hampton,415478883,December 23 1981,0 Fm 1458,GENOA,WV,25517,February 21 1996,456878533,Shonta Margiotta,friend,706150787
Juanita,Dorethea,Longbotham,238478233,June 17 1968,415 Silliman Street,MOBILE,AL,36622,January 18 1992,436878545,Leigh Ciskowski,parent,563663245
Olivia,Ferne,Mccunn,587715139,October 29 1987,915 Frydek Road,BRM,DC,20077,March 20 2002,333845152,Cristine Orte,friend,122618860
Vernell,Kendall,Swezey,793836494,May 15 1992,5878 Ridgewood Road,PHOENIX,OR,97535,November 7 1986,354762271,Marilou Robe,spouse,107176944
Florencia,Wilbur,Aben,499739629,August 18 1997, ,CHARLESTON,TN,37310,September 19 1995,470235512,Rufus Nikkel,friend,652396770
Callie,Harriett,Haza,806827678,August 23 1970,415 Jackson Road,MADISON,WI,53792,January 23 2009,185930996,Kori Aimone,parent,475232221
August,Mickie,Engelmeyer,306784154,September 15 1970,1190 Wietstruck Road,TAYLOR HILL,LA,71447,April 17 1989,118341795,Loida Pavoni,sibling,570474072
Daphine,Malia,Buskey,542969882,February 22 1986,504 Meyer Street,GRANDVIEW HEIGHTS,NC,28607,November 17 2010,443745785,Josiah Staggers,extended family,563452711
Lenna,Granville,Turbe,386719083,September 14 1950,1632 Eagle Lake Road,BROOKSVILLE,FL,34613,October 14 1989,865412802,Wilfred Chenard,other,303928785
Jerrold,Mellisa,Cuyler,618552407,December 28 1996,0 Pless Road @ Track Road,LAFAYETTE,IN,47909,April 20 2005,849352050,Leana Yaekel,other,193597412
Leonida,Marcia,Reinmann,350919670,March 10 1962,2088 Sempronius Road,WAYNESBORO,VA,22980,August 25 1996,752671056,Steve Yeates,friend,537310808
Colby,Sherron,Carnley,170424258,August 23 1988,2103 Mill Creek Road,GENERAL ELECTRIC CO,PA,16531,June 2 1993,658005232,Elicia Stempert,friend,639363443
Lonna,Nida,Reio,482682186,June 15 1994,14164 Spiess  Road,TREVLAC,IN,47448,March 17 1987,736577386,Hoyt Potter,other,897405823
Mason,Lisha,Diestel,857913536,September 27 1983,0 Cherry Blossom Lane (Off Of),MC LEOD,TX,75565,September 5 2012,161036439,Sharita Deakins,spouse,493524383
Gricelda,Nettie,Cinkosky,560319231,September 3 1958,0 Live Oak Street,MAUSTON,WI,53948,February 16 1996,991831502,Kristopher Smyrl,friend,124276817
Shawana,Bertha,Duberstein,106224161,April 22 1997,0 Sempronius Road,SHELBURNE FALLS,MA,1370,February 8 1994,422031959,Rachel Lorona,spouse,402597694
Antione,Traci,Fuhri,817463209,January 23 1975,719 Concordia Drive A,FREDERICKSBURG,TX,78624,August 10 2011,796214198,Julianne Knutsen,other,805846734
Caroll,Constance,Slowinski,812667188,February 28 1995,2569 Wiecker Road,VALLEJO,CA,94590,May 19 2002,313980522,Olivia Heiting,sibling,674082319
Danette,Thanh,Cumby,908178711,July 8 1995,3810 Fm 2187,ARLINGTON,IL,61312,April 25 2005,202891625,Haley Liveoak,friend,721790318
Alfredia,Kasey,Mcpartlin,132877400,January 7 1981,1306 Squire Lane,REXVILLE,NY,14877,April 27 1993,513908696,Jazmine Crisafi,extended family,396544110
Ciara,Kurt,Browing,297684469,September 22 1993,2280 Main Street,FANNETT,TX,77705,January 22 1991,684199651,Olene Mandolini,spouse,687759632
Shantay,Clement,Muldoon,895792955,February 10 1990,0 Ernst Parkway,ERA,TX,76238,May 22 1998,298209162,Retta Boettcher,parent,585412773
Monty,Shannon,Hornor,157709057,April 10 1965,0 1st Street,GWYNEDD,PA,19436,October 6 1992,696135910,Faustina Bothwell,parent,727526909
Mellisa,Grover,Burchell,576625542,October 11 1980, ,EDGEWORTH,PA,15143,July 30 2008,579237441,Geraldo Mongrain,parent,606679906
Linsey,Huey,Eber,249082963,June 22 1990, ,COALDALE,NV,89049,July 31 2006,349669279,Jamey Benckendorf,friend,803977863
Shalon,Coreen,Hellmich,985245156,May 31 1968,1393 Norcross Road,STILLWATER,NV,89406,July 19 1994,969018337,Nga Moreb,parent,939589272
Cruz,Queenie,Niece,161872974,December 18 1964,1303 Mockingbird Bend,OAKDALE,PA,15071,May 11 2008,804332944,Annice Petramale,friend,471454694
Carley,Myung,Barakat,513212188,November 9 1993,4164 Bleiblerville Road,LOS ANGELES,CA,90032,August 16 1991,834708108,Vanda Griffins,friend,919154154
Joann,Rufina,Kretlow,417400069,February 22 1978,0 Koehn Road @ Kiesewetter Road,STATE FARM INS,OR,97313,January 3 2008,503137328,Bridgette Huyck,friend,644094501
Bettyann,Estrella,Swarn,871909201,May 26 1965,0 Stern Road (Washington Co,DAYVILLE,CT,6241,December 22 1992,781883168,Florrie Vandonsel,child,674632179
Kiana,Chu,Walenta,827493377,July 2 1951,8323 North Fm 331,GAPVILLE,KY,41433,April 10 2006,713296381,Rolande Soravilla,sibling,915835030
Glennis,Yun,Perfecto,353595443,April 5 1968,0 4th Street,CENTRAL VLY,CA,96079,July 8 1995,623291872,Billy Bobseine,sibling,324077372
Shela,Emelina,Began,738402302,April 18 1984,0 Highway 90 West,TAYLOR PARK,CO,81210,May 26 1991,403220589,Rickie Dietel,sibling,686905811
Divina,Zane,Lubinski,849402560,May 16 1971,5627 Henry Street,DEPT EMPLOYMENT,OR,97311,July 1 2010,543369246,Perry Absher,friend,544356411
Roxanne,Shaneka,Clendaniel,842437012,December 14 1976,5782 Wild Flower Road,CELINA,TN,38551,July 25 2009,287241837,Ranee Stenerson,other,404062342
Dong,Antoinette,Suddath,766926063,November 22 1993,831 Main  Street,BETHESDA,MD,20810,March 1 2009,781969201,Karren Andrion,parent,255580139
Claribel,Rosaria,Mackie,725589827,June 29 1964,0 Krueger Road,HON,HI,96826,January 14 1996,781088716,Easter Petronella,friend,273669791
Doreen,Clotilde,Snooks,244691975,September 26 1979,0 Cedar Street,DAHOMEY,MS,38725,September 20 1996,537247824,Tiffanie Becwar,friend,307217875
Lyndon,Selma,Boudreaux,488501734,August 14 1969,2660 Mixville Road,NORWOOD YOUNG AMERICA,MN,55368,May 20 1993,494649085,Carlo Nepomuceno,parent,360049353
Felicia,Jenny,Fontes,561881622,March 10 1974,360 Quail Bend,BENSON,MN,56215,November 18 2002,228703732,Marisela Vilmont,spouse,147128580
Valrie,Fe,Reiland,359012569,February 8 1990,1781 Granada Road,MALTA,NY,12019,November 23 2008,416407237,Voncile Borycz,extended family,399254408
Mohammad,Isabelle,Fenlon,875705521,February 2 1963, ,ARMIESBURG,IN,47862,July 7 1985,691754793,Briana Hellner,extended family,284687827
Paris,Jann,Lagerberg,933437014,September 7 1961,0 Fm 1094,LANCING,TN,37770,November 21 2004,624421734,Kiyoko Danyow,friend,989570394
Ivey,Delinda,Arnzen,483092117,September 18 1991,7103 Mikes Street,OGDEN,IA,50212,March 6 1986,868048137,Dionna Brox,friend,713885705
Deandrea,Mana,Grantland,590351696,November 9 1981,3512 River Crest Lane,SHAWANESE,PA,18654,November 21 1987,561059297,Tereasa Podeszwa,parent,824395395
Emelina,Lorean,Hirst,531199945,December 6 1957,0 Stokes Road,BLOCKER,TX,75670,May 9 2002,557545720,Williemae Wasden,friend,253922553
Robbie,Toccara,Banaag,313203359,June 15 1954,1436 Graham Road,ROXANA,LA,71303,June 17 2010,488093283,So Cutliff,parent,706557809
Roselia,Margrett,Bingle,786911914,April 15 1976,158 Oil Field Road,WALL STREET BRM,NY,10269,October 29 1996,754319807,Shelton Maker,parent,954083516
Valarie,Elizabeth,Aplington,508038252,March 25 1964,3716 Fm 949,SAINT BERNARD,OH,45232,December 3 2011,361326824,Annamae Rauschenbach,parent,182302661
Hipolito,Antonio,Metropoulos,399101290,February 3 1995,15772 Newberg Road,ROSLYN ESTATES,NY,11576,March 2 2016,166387761,Lucretia Student,friend,730609303
Danae,Jeffie,Munyer,680126217,November 15 1970,2405 East School Road,BONNERDALE,AR,71933,November 6 1998,931660381,Ross Milius,sibling,200803762
Sydney,Coy,Bertch,940186946,June 16 1954,26233 Bernard Road,NICHOLVILLE,NY,12965,August 7 1995,237709171,Lavona Willig,friend,888421189
Salina,Ellena,Moulhem,831668258,May 13 1982,0 Waak Road (Off Of),NEW HAVEN,CT,6501,October 17 2008,155481175,Marisa Torey,spouse,894749030
Jovan,Reed,Meadors,522368013,December 26 1978,26396 Bernard Road,WINTHROP,NY,13697,October 1 1986,137992980,Barabara Lamfers,parent,585857106
Argelia,Porsha,Bridgeford,304026906,August 6 1961,1391 Walnut Street,EAST ATLANTIC BEACH,NY,11561,July 31 1992,330331283,Alda Rusak,child,578851146
Magaly,Qiana,Ghera,536936388,September 7 1973,21111 Highway 159 West,ADAMS,MA,1220,August 29 2000,351984645,Alvaro Narlock,extended family,130430667
Avery,Willis,Mautone,227337360,July 26 1956,0 Krebs Road,PETROLIA,TX,76377,February 17 2016,221877602,Alvaro Gidney,other,326544332
Gricelda,Claudette,Borgelt,636133830,January 15 1995,902 Garland Lane,THERESA,WI,53091,April 23 2007,496635167,Pamila Kalenak,child,125865236
Alexis,Kacey,Thomsen,471712632,April 27 1979,15303 Newberg Road,MANKATO,MN,56002,January 4 1999,311059508,Brendon Pommer,parent,947064831
Francisco,Sha,Calnick,251011802,July 15 1961,4456 Mill Creek Road,TRENTON,NJ,8690,July 28 2006,782634219,Hoyt Lantey,extended family,701551819
Mckenzie,Elli,Knack,154756247,July 9 1964,26167 New Bremen Road,DALLAS,PA,18612,February 28 1988,922668074,Yvone Criddle,spouse,292942899
Judi,Tasha,Renouf,836468604,March 22 1970,127 North Mechanic Street,SUGAR LAND,TX,77496,August 8 1987,750306073,Siu Ricley,other,844839590
Manuel,Mana,Kaai,535384629,January 17 1986,3696 Byron Balke Road,WILLOW POINT,NY,13850,December 17 1988,441189797,Towanda Musil,parent,964956520
Blair,Cecelia,Portman,437817057,January 5 1956,241 Mikeska Road,THOUSAND OAKS,CA,91360,December 15 2013,181333671,Lon Hlavacek,friend,972334807
Jodi,Fredia,Steinacker,373121126,April 26 1975,1105 South Masonic Street,SELECTIVE SERVICE,IL,60086,December 16 1985,630140762,Delphine Voita,friend,692051402
Kasandra,Eric,Moeller,149553275,September 28 1993,3123 Centerhill Circle,BLUE CROSS,CA,94659,December 21 1993,773155121,Wayne Leavins,child,540240880
Nicolette,Martin,Schneeman,112573238,October 23 1967, ,ISLE OF PALMS,SC,29451,March 17 1993,536875270,Stephany Eichler,sibling,977793090
Colin,Marco,Gonzalez,965065916,August 25 1988,0 Nowak Road,DIPLOMAT PLAZA,IN,46806,November 27 1988,366558399,Doris Mcgettigan,sibling,725738572
Lyman,Tilda,Hutsler,445702431,July 4 1954,0 Squirrel Road,POMPEII,MI,48874,November 18 2003,736464653,Lettie Juste,parent,863698982
Dolores,Florance,Herwood,510396601,October 9 1995,1678 Phillipsburg Church Road,LA GRANGE PK,IL,60526,April 2 1992,116819734,Tammera Remmel,extended family,954936969
Eula,Hettie,Cassius,239135229,November 5 1972,6103 Dubose Street,ESSEX,MA,1929,November 9 2009,182132025,Lashawnda Kallman,child,540350780
Loriann,Hiroko,Eckman,991324779,September 24 1977,0 Fm 2502,DATELAND,AZ,85333,October 29 1989,970955008,Elfreda Shepherd,parent,899919593
Raymond,Jenna,Lounsbury,192977227,December 22 1973, ,PLAINFIELD,IL,60585,April 16 1995,333261862,Janis Horiuchi,child,977501013
Marybelle,Zoraida,Corpuz,222428510,April 17 1961,0 Emerald Drive @ Ruby Drive,URBANDALE,MO,65270,May 29 1996,657991995,Stephani Kellom,spouse,783194479
Melisa,Beula,Debruce,322649061,December 4 1986,0 King Road @ Fisher Road,TENDOY,ID,83468,April 3 1994,508479175,Delpha Falencki,friend,268384390
Jeanine,Buford,Dender,621731675,August 29 1956,0 Baranowski Bush Road,SANBORNVILLE,NH,3872,December 14 1999,863766491,Antione Cottman,friend,676206219
Viviana,Manuela,Hartley,450870280,April 23 1980,0 Koeppens Trail,SAINT JAMES,NC,28461,September 29 2016,304949912,Janine Lundeby,child,425992246
Lawanna,France,Tingstrom,953387002,August 8 1966,1308 Mockingbird Bend,S C ELECTRIC AND GAS,SC,29218,April 3 1991,668180414,Peter Coy,sibling,846683706
Annalee,Lavera,Barden,636219765,January 11 1950, ,SCOTTSDALE,AZ,85253,October 10 2000,366069613,Brittni Montaque,friend,300962799
Lexie,Cruz,Huddleston,552802601,May 23 1950, ,MABIE,WV,26278,December 21 2005,891153880,Deadra Asbridge,child,833129635
Kiersten,Lanny,Gurley,594280893,April 14 1969,24547 Buechmann Road,SOUTHBURY,CT,6488,March 15 1998,809190954,Lieselotte Gato,extended family,243724935
Veronique,Soila,Scurlock,928872354,September 3 1964,0 Avenue F,NEW HAMPTON,NH,3256,June 7 2006,367114085,Kimiko Patchen,spouse,712783534
Noe,Laurence,Shonkwiler,332255623,April 13 1970,8732 Bleiblerville Road,HAZEL HURST,PA,16733,January 25 1987,720048581,Breana Perrins,parent,825278853
Flor,Deneen,Zaltz,772630996,December 10 1952,1589 Spanish Oak Lane,ATLANTA,GA,31146,May 19 1996,238684131,Son Warneka,sibling,389432957
Mable,Rosie,Antenucci,786561696,October 7 1968, ,INDEPENDENCE TWP,MI,48346,November 12 1988,619053877,Carmela Heitger,other,490121413
Jonell,Claude,Suprenant,412774859,January 15 1994,0 West Austin Street,KILGORE,NE,69216,February 18 2000,993599418,Freeman Barakat,sibling,590461811
Luke,Myrta,Lumbley,542205148,June 22 1992,0 Highway 159 East & Kurt Road,WATSON,AL,35181,March 6 2016,130584249,Lenore Yoshi,child,205874347
Arla,Lashaun,Nickle,709054908,September 28 1979,0 Walnut Street,RANGER,TX,76470,March 30 2009,528554395,Derek Helble,spouse,907906304
Katrice,Alysha,Sicotte,712978453,January 19 1960,6025 Southwest I-10 Frontage Road,BOISE,ID,83704,August 15 1992,674640684,Cira Eldred,parent,722641260
Melvina,Carmella,Vandiford,413488614,August 30 1964,4864 Bleiblerville Road,MENOMINEE,IL,61025,March 29 1989,996878455,Arnetta Sowell,extended family,398869682
Alvina,Irene,Speranza,961542921,December 5 1985,101 Westview Drive,VALERIA,KY,41301,February 28 1994,221596578,Luetta Kilborn,other,172426962
Irvin,Obdulia,Tracewell,916512122,December 9 1987,6800 Fm 2187,ELIZABETH CTY,NC,27907,June 4 1995,219298466,Sheldon Freeh,friend,527695881
Elnora,Clair,Nessner,250418328,March 18 1964,7392 Carriage Lane,OSAGE CITY,MO,65101,September 13 2006,836946973,Denice Okula,spouse,947466309
Etha,Kelsey,Walla,126406874,March 31 1988, ,COWLINGTON,OK,74941,March 5 2011,317650380,Carlie Harl,sibling,360526647
Melody,Ginette,Fabiani,999469350,November 5 1968,6712 Hillboldt Road,UPPER KEY LARGO,FL,33037,October 28 2015,911667884,Caitlyn Jackson,sibling,454328849
Cara,Wan,Faraone,462321741,August 5 1996,649 Taylor Street,LUMBER CITY,GA,31549,July 17 1985,277772583,Ezekiel Minkler,parent,135411454
Trudie,Ali,Churchville,716727440,December 9 1951, ,SCOTTDALE,PA,15683,June 18 2007,553621870,Kenneth Ostaba,parent,467427524
Bianca,Marshall,Overland,216650480,December 2 1958,19381 Highway 159 West,AMADO,AZ,85645,October 6 1997,690906972,Lennie Collman,friend,324586513
Sidney,Winifred,Hensle,299839563,July 19 1980, ,ORANGEBURG,SC,29115,August 20 1987,270950084,Sindy Hausler,spouse,706243233
Dennis,Eartha,Tuton,715026381,May 11 1981,1052 South Masonic Street,SUFFIELD,CT,6078,June 10 1985,142142461,Karrie Coskrey,spouse,474906762
Tommy,Hertha,Kenter,531046678,April 28 1976,0 West Fm 1093,WAPAKONETA,OH,45895,May 12 2014,735061566,Willie Joeckel,extended family,151291523
Ross,Jocelyn,Leeker,361313909,November 9 1988,2074 Jackrabbit Road,SAN ANTONIO,TX,78241,June 23 1987,362595076,Reiko Tunison,sibling,676162765
Xenia,Marylyn,Mcglaun,313762914,December 4 1963,0 Coshatte Road,NEW ROADS,LA,70760,February 13 1992,780091285,Mika Dangelo,friend,446657280
Kemberly,Hue,Plemel,451197800,June 2 1995,0 Stokes Road,EVANS,CO,80645,April 17 2001,890395593,Conchita Benik,friend,732033830
Elenora,Yolanda,Jaroscak,601377894,April 26 1964,0 Ward Street,FENTON,MI,48430,December 21 2015,599915705,Jenni Whitesinger,child,124794514
Odilia,Gabrielle,Arcement,807719579,June 12 1950,0 Fm 1094,HON,HI,96848,October 1 2013,368858264,Jaime Bergren,spouse,935054644
Mindi,Bobby,Balko,825115193,November 26 1968,0 Orange Hill Road (Off Of),PIONEER POINT,CA,93562,March 21 2008,301285920,Lahoma Alisauskas,child,631156886
Lan,Silvana,Hawkinberry,782754114,October 29 1970,5241 San Felipe Drive,KARNACK,TX,75661,February 9 2002,871577343,Antonio Boeshore,friend,113972471
Tillie,Kristal,Washman,637351517,August 27 1985,0 Highway 36 South @ Cougar Road,OKTAHA,OK,74450,April 27 1991,381604829,Lieselotte Studivant,friend,131955450
Jillian,Bobbi,Gory,763253897,September 2 1991,605 Dogwood Court,PRINTER,KY,41655,April 27 1990,880222519,Graham Giesen,extended family,891454430
Clair,Lexie,Wenrick,697881067,January 11 1954,4155 Fm 109,WEST VALLEY CITY,UT,84128,April 28 2000,427509901,Glynda Colgin,friend,403730833
Nakita,Lakendra,Balden,864355316,April 3 1952,0 Sycamore Road,MOUNT FREEDOM,NJ,7970,April 9 2011,146501037,Gabrielle Darbyshire,sibling,972912193
Ginette,Mariela,Picciano,264778906,March 29 1986,22560 Fm 1094,RIO GRANDE,NJ,8242,August 7 2004,991842239,Joesph Vandevoorde,friend,735220480
Glinda,Benedict,Rondinelli,513315040,February 5 1983,862 White Oak Drive,PALISADE,MN,56469,September 2 2004,563579669,Shay Jenderer,extended family,967328575
Regenia,Amber,Macchio,228795867,June 15 1966,734 South Fm 331,FREEMAN,MO,64746,June 16 1989,853834158,Otha Lathan,friend,812868685
Lorean,Terisa,Montieth,669839428,August 19 1951,4188 Old Highway 36 Road,GOLD RUN,CA,95717,May 23 1999,621107544,Audrey Arceneaux,other,700914528
Ka,Shara,Sannon,394061935,April 13 1963,876 West Main Street,FAYETTEVILLE,NC,28302,April 30 1997,713422566,Fabiola Kienast,parent,714884358
Craig,Anisa,Hardcastle,766734528,April 12 1995,7138 Grace Lane,BALD HILL,KY,41041,May 23 2015,662184943,Beula Bakley,other,430154818
Golda,Gertrude,Visco,250180706,February 16 1971,0 Grubbs Road,LOUISVILLE,KY,40280,October 1 1994,914416980,Suellen Daryanl,extended family,944549363
Barbera,Tia,Syner,327930255,January 14 1971,0 Schluens Road @ Fm1094,COLLEGE DALE,TN,37363,July 18 2006,438950973,Tracey Lindy,friend,246709672
Tawana,Alberta,Moors,966895208,October 14 1994,0 Highway 36 South,DEPT OF HOMELAND SECURITY,DC,20528,July 27 2001,642684340,Blanca Gledhill,child,292004886
Sherlyn,Quincy,Moudy,452742073,February 22 1951,3014 Brazos Oak Lane,WEBB CITY,OK,74652,August 22 1990,838123746,Maude Hoff,friend,520559502
Chia,Lavern,Moel,536166380,March 23 1950,1470 Fm 1456,PAXVILLE,SC,29102,October 5 1988,450357969,Edra Demarse,friend,911423446
Dannielle,Patria,Krogmann,980592729,March 12 1968,7364 Highway 36 North,WEIRSDALE,FL,32195,May 24 1988,729462410,Terresa Imparato,other,275981852
Marissa,Marcus,Carrales,174934366,September 1 1975,126 Machemehl Drive,UNION,NE,68455,August 27 2012,822073143,Hannelore Reihe,parent,734670552
Demetrius,Dia,Watterson,540124868,May 18 1984,728 Fowlkes Street,ROCKCASTLE,KY,42211,March 17 1993,762815874,Josh Biringer,sibling,287138613
Shemika,Justine,Cunneen,920676864,July 24 1957,6021 Gresham Street #4,RIPPEY,IA,50235,April 15 2002,517052650,Yoshiko Georgis,friend,646575387
Nolan,Carol,Richard,572431286,June 20 1963,9526 Baranowski Bush Road,PENSACOLA,FL,32507,September 26 1997,885695053,Kate Ryhal,friend,614373805
Elli,Guillermo,Wrape,410217818,November 14 1958,0 Fm 1094 (Off Of),REDFORD TWP,MI,48239,January 19 1999,395126473,Annie Hoops,extended family,615000932
Yasmin,Verda,Bradfute,317689254,January 23 1987,371 Gebhardt Road,DEERFIELD STREET,NJ,8313,March 17 1992,879113676,Otto Holihan,child,650358670
Melony,Lucinda,Eatmon,137594308,March 22 1968,550 Meadow Creek  Road,JAMES CREEK,PA,16657,February 13 2005,605019633,Chuck Helbig,child,681207752
Luis,Marg,Ferrario,596420901,October 9 1986,6537 Warmke Road,E WALLINGFORD,VT,5742,August 24 1985,969179202,Adena Ehrgott,sibling,876991570
Maryanna,Darell,Tabag,470116935,June 11 1991,3273 Lazy River Drive,MATTOON,KY,42064,June 23 1993,579971060,Belkis Guilianelli,friend,463654378
Garrett,Hank,Haberern,465465747,January 4 1963,0 Fordtran Boulevard,MIAMI,FL,33190,September 19 1994,593414017,Willa Hove,parent,742922141
Isa,Jacques,Ragon,342452836,May 28 1976,6320 Railroad Street,LANCASTER,PA,17699,August 19 1996,935378916,Sylvie Lina,other,838422717
Elijah,Lashunda,Heindel,310030777,May 2 1969,216 East Lantana Circle,EL TORO,CA,92610,January 1 2016,910316933,Dominique Botwin,other,199616425
