firstName,middleName,lastName,socialSecurityNumber,dateOfBirth,postalAddress,phoneNumber,hireDate
Roseanna,Lekisha,Jungels,652310161,April 11 1981,0 Chew Road SEALY Texas 44121,108202099,February 19 2008
Andera,Lashay,Koegler,323291567,January 12 1984,0 Campo Santo Street (Off Of)  Texas 68063,572030863,August 6 2002
Simona,Dusty,Irani,922404910,July 26 1989,0 Fm 1094 @ Schaffner Road SEALY Texas 45793,643292459,September 27 1994
Leslee,Lavina,Wilbourne,155763490,December 30 1952,0 Klopsteck Road SEALY  Texas 72432,652110359,September 16 1988
Mavis,Clayton,Daoud,333095922,September 26 1961,726 1st Street  Texas 16264,539474092,December 10 2014
Lorette,Aisha,Kostohryz,747778493,June 22 1997,0 Maeckel Road  Texas 96403,581582776,January 28 2010
Lavada,Dennise,Taillon,426930435,July 7 1967,0 North Curry @ Main Street BELLVILLE Texas 45935,574708489,October 4 1986
Chang,Olen,Kimel,248277336,November 22 1990,   Texas 79181,978332902,November 15 2008
Shemika,Kaley,Kiedrowski,639490434,June 27 1986,218 Main Street INDUSTRY Texas 35722,528107288,October 25 2006
Una,Russell,Seigworth,182551540,June 25 1984,   Texas 19524,450845251,October 26 2003
Kathryne,Jeni,Chirinos,820310762,February 20 1958,2835 Lazy River Drive SEALY Texas 68927,666316956,June 22 1993
Javier,Olimpia,Ohlmann,621623882,July 10 1986,0 Newberg Road  Texas 74068,541539457,September 12 1994
Carmen,Alaina,Littleton,713621055,July 14 1974,2510 Gebhardt Road SEALY Texas 34686,770589781,July 18 2000
Amira,Rowena,Gibala,259512355,March 29 1970,1213 Shadowlake Drive SEALY Texas 67007,524641916,June 7 1986
Despina,Thurman,Vilanova,795494261,December 28 1956,208 Briar Circle SEALY Texas 38275,897941178,June 25 1997
Dusty,Gabriel,Proue,482550889,March 5 1965,   Texas 39726,731440035,August 2 1990
Stefan,Merna,Uballe,530295715,May 25 1993,5102 Old Highway 36 Road BELLVILLE Texas 53414,712650460,January 15 2013
Rayna,Eliz,Robbert,335788784,February 1 1973,2533 Norcross Road WALLIS Texas 67872,605607052,February 26 2008
Ignacia,Blythe,Streitenberge,607686729,January 22 1976,0 Tottenham Road (Off Of) CHAPPELL HILL Texas 90587,730373646,September 2 1992
Adalberto,Eve,Prestwich,779203570,September 14 1954,0 Ernst Parkway  Texas 69229,340580138,December 5 2005
Britt,Florida,Boitel,232021527,November 30 1950,8028 Koehn Road BELLVILLE Texas 87108,925069564,March 8 2013
Chi,Lenore,Dine,635432179,February 18 1971,0 Fm 1458 (Off Of)  Texas 18519,438957434,May 11 1988
Myra,Edwin,Georgales,368651108,July 25 1987,0 Juniper Lane (Off Of) BELLVILLE Texas 33414,589754517,January 30 1988
Wilhemina,Mac,Sary,457537948,May 31 1996,414 North Hunt Street BELLVILLE Texas 46665,484480876,April 26 2016
Bessie,Joseph,Brohawn,970960606,March 24 1952,0 Fm 1094 SEALY Texas 23185,163936996,January 12 2010
Joana,Yolonda,Nannie,853751983,October 6 1993,3912 Fm 2502 BLEIBLERVILLE Texas 57945,784000177,December 10 2002
Jennette,Summer,Caracso,762157774,May 25 1960,6931 Commerce Street WALLIS Texas 95013,833778212,June 30 2013
Gregorio,Chana,Mulqueen,552116435,March 18 1975,207 Fowlkes Street SEALY Texas 61519,428172828,December 8 2015
Rozanne,Josh,Duchane,475825297,October 5 1974,3200 Newsom Road BELLVILLE Texas 51141,333092690,August 31 2000
Larraine,Graham,Bodnar,244657808,November 12 1976,4502 Schoenau Road BRENHAM Texas 75879,223533130,September 2 2009
Dorie,Jordon,Siddon,947660234,December 17 1974,   Texas 75449,573955869,May 17 1990
Shalanda,Takako,Goolman,333462868,July 13 1963,1904 Hillview Road   Texas 39329,657633986,December 14 1986
Janna,Robt,Felmet,830953498,April 12 1957,7142 Highway 60 WALLIS Texas 52511,381814064,August 4 1989
Jackelyn,Twyla,Rhein,392336405,December 16 1983,0 West Hacienda BELLVILLE Texas 54602,395595421,August 5 2015
Larae,Tiera,Paisley,693196393,January 1 1964,0 Mill Creek Road (Off Of) CAT SPRING Texas 91620,110681218,March 23 2006
Charles,Wenona,Schlicht,732298854,June 3 1988,   Texas 65432,647630208,November 7 2011
Buster,Russell,Dewulf,558417785,February 4 1988,1190 Lisa Mae Lane BELLVILLE Texas 11968,745524217,September 10 1992
Mandy,Deshawn,Clairday,608923401,November 26 1990,   Texas 91301,449701078,July 5 2012
Dyan,Pauline,Venditto,936816561,April 21 1989,9287 Plum Creek Road SEALY Texas 95420,729741717,October 10 2002
Marguerita,Angelika,Mcfarlin,368502152,June 19 1985,6806 Railroad Street WALLIS Texas 98891,824819798,January 21 2005
Melani,Vita,Garcia,832010722,April 30 1990,0 Pyka Road  Texas 12770,271375103,June 16 1985
Monika,Carroll,Deacy,499536105,June 26 1985,0 Hwy90 SEALY Texas 74775,831739885,November 20 1997
Aubrey,Jeramy,Peavy,418515285,October 8 1995,0 Fm 2502 And Fm 109  Texas 94283,310186621,October 17 1998
Matilda,Shawanda,Bussani,229523304,October 7 1997,4325 Stokes Road BELLVILLE Texas 19928,306722182,June 6 1998
Sam,Francis,Swanteck,524311703,February 6 1993,204 San Felipe Road SEALY Texas 40223,664017790,August 22 1994
Liane,Beatrice,Tengben,995116074,April 27 1979,906 South Holland Street BELLVILLE Texas 48301,288155153,December 8 1989
Shonda,Harris,Lineman,351694534,July 18 1974,112 Camilla Circle BELLVILLE Texas 66850,804107854,November 14 1992
Clarence,Elias,Goehringer,169265450,March 22 1995,6415 Cutoff Road  Texas 36324,613263957,December 7 1998
Cindy,Beverly,Manecke,994778998,July 19 1982,115 South Matthews Street  Texas 45814,739703888,May 17 1992
Jewel,Sun,Kresal,571987203,June 12 1975,0 Hwy90 SEALY Texas 49283,450808849,May 21 1990
Merlyn,Mignon,Lemkau,314611672,February 14 1989,   Texas 93414,368909218,February 10 1991
Larry,Genie,Biby,834077143,November 22 1994,207 Fowlkes Street SEALY Texas 92368,598103891,February 27 1991
Rodney,Sharita,Porath,967924086,December 14 1977,205 Elizabeth Lane SEALY Texas 62050,989068852,April 3 1988
Otilia,Latosha,Ricenberg,354866707,October 21 1963,0 Ward Bend Road  (Off Of) SEALY Texas 56181,819120502,April 10 2003
Priscila,Julissa,Rattley,138066970,December 10 1962,610 Margie Street  Texas 11173,762034348,August 21 1998
Dagmar,Sabina,Prusinski,467527703,May 18 1981,0 Skrivanek Road  Texas 27956,131801712,January 28 1986
Brandee,Christel,Hrbacek,126113582,April 19 1959,0 Eckermann Road  Texas 43870,520530092,January 17 2006
Deandrea,Carmelo,Drozdowski,937274094,December 16 1986,1985 Lauren Lane SEALY Texas 23921,295617039,December 16 1988
Carlita,Esta,Tansil,245759929,November 6 1990,1724 Meyer Street SEALY Texas 78110,846892500,May 5 1993
Aurore,Tommy,Argumedo,800028553,October 2 1994,0 Sycamore Road CAT SPRING Texas 15407,788133587,January 2 2014
Marnie,Pasty,Loury,451407187,April 2 1988,905 Highway 90 West SEALY Texas 86768,987190332,August 29 2012
Antonia,David,Mctiernan,349864494,December 29 1966,11436 Fm 949 CAT SPRING Texas 90711,854955967,March 7 1997
Johnny,Suzette,Dippery,368295995,July 30 1983,0 Rinn Road NEW ULM Texas 56560,106866973,October 14 2000
Willy,Keiko,Sweley,993134392,April 11 1951,2768 River Bend Lane SEALY Texas 97488,838470963,January 16 1994
Kate,Wilda,Osman,395078780,August 13 1955,0 East Glenn  Texas 44458,590467764,April 4 2008
Vivienne,Melida,Linsky,263170404,January 2 1973,0 Fm 1371 (Off Of)  Texas 91798,134786350,November 11 1986
Irena,Roberto,Landing,500749795,October 6 1951,0 Krueger Road  Texas 98190,321809168,November 18 1987
Yvonne,Jacquie,Howle,181501598,June 9 1955,305 Sunset Avenue SEALY Texas 81973,447127241,October 5 2016
Porter,Porter,Eldrige,632080354,April 20 1968,   Texas 90082,703382348,February 1 2000
Loren,Perry,Winthrop,726567389,June 12 1968,   Texas 19258,529486114,August 5 2014
Mira,Teofila,Dok,306992540,April 18 1966,0 Industry Road  Texas 56242,428317123,June 3 2005
Darren,Quinn,Sessa,838001788,April 4 1955,1716 Centerhill Road BELLVILLE Texas 45842,782940281,June 5 2003
Kirsten,Glenn,Oehlert,470697729,February 9 1990,14177 East Ueckert Road BELLVILLE Texas 84499,565509311,July 4 1985
Mellie,Lula,Hollinrake,719986740,January 28 1988,2076 Beckendorff Road  Texas 21438,644866605,January 29 1993
Charlena,Nella,Bernabei,891666653,October 21 1965,0 Hahn Road SEALY Texas 18427,261365832,August 17 1987
Dario,Jalisa,Williamon,579382093,November 17 1983,10109 Schluens Road SEALY Texas 55955,419096926,September 14 1991
Rickie,Alexis,Manker,435009354,September 18 1964,3649 West Ueckert Road BELLVILLE Texas 43263,970068039,March 19 1990
Angel,Portia,Emshwiller,128979997,February 14 1971,0 Squirrel Road NEW ULM Texas 21090,233359985,November 8 1997
Tama,Joe,Schlaack,862741680,February 21 1984,802 Honeysuckle Court SEALY Texas 94849,360501871,September 2 1985
Dean,Nedra,Finwall,731133962,February 11 1985,4325 Campo Santo Street  Texas 12703,884319163,June 5 2006
Sabra,Haywood,Salas,519498268,December 7 1970,1011 Gunnison Street SEALY Texas 60298,391446292,January 4 1992
Shakita,John,Mikes,347196919,February 22 1951,1169 Fm 1457 NEW ULM Texas 97607,775006383,July 1 2016
Dion,Nana,Tatro,894011059,March 12 1977,0 Shunka Road NEW ULM Texas 79764,918834033,September 2 2004
Alla,Delisa,Wigren,180876322,October 27 1952,12006 Eben Road INDUSTRY Texas 18695,854019536,December 20 1986
Yolonda,Merry,Mcdugle,431280583,January 6 1987,210 South Tesch Street BELLVILLE Texas 61223,488667369,May 24 1987
Trenton,Latrina,Palenik,363171221,May 7 1970,414 Frydek Road SEALY Texas 96115,699733321,October 29 2001
Tracee,Duane,Faulkes,267690488,January 27 1954,211 Brazos Hill Lane SEALY Texas 83836,257446321,October 30 1998
Mamie,Carrie,Hallett,569578685,December 10 1990,   Texas 76133,429897095,July 19 2012
Pearle,Kassie,Tovar,285901877,October 29 1979,0 Marek Road WALLIS Texas 72571,166889022,June 24 2005
Jovan,Matilda,Ruderman,900514707,December 18 1996,17082 Highway 36 South WALLIS Texas 34388,260970809,December 21 1993
Adelia,Loan,Kutcher,332454085,June 26 1971,112 Brookside Lane SEALY Texas 74845,721629294,July 18 2007
Markus,Lawrence,Hausen,499344406,April 25 1996,12826 New Wehdem Road   Texas 83932,250683020,August 10 1985
Yong,Mari,Tande,107516454,January 21 1979,0 Sandstone Lane BELLVILLE Texas 34924,484980685,November 17 2008
Palmira,Burton,Lagerman,652202991,April 27 1996,5926 Gresham Street WALLIS Texas 77783,369571111,August 10 2008
Jody,Yolando,Colp,151795283,January 23 1989,13205 Frantz Road  Texas 89560,818469930,March 14 1990
Will,Miguel,Baize,175243683,January 18 1954,168 Country Court SEALY Texas 19111,705358659,May 31 1998
Sherika,Shirl,Rintharamy,503502482,January 24 1978,0 Fm1952  Texas 48216,162557112,August 21 2000
Cheryll,Jinny,Gabrel,280592769,February 4 1980,   Texas 42477,380303152,July 3 2014
Gwenn,Xochitl,Cappetta,341525711,October 22 1970,0 Schmidt Road & Harrison R SEALY Texas 97636,147860203,March 25 2004
Ayako,Venice,Etheredge,946830182,June 4 1958,16328 Newberg Road CAT SPRING Texas 76282,583156909,May 14 2002
Santana,Eliz,Contras,637179360,May 16 1969,451 Piney Creek Road BELLVILLE Texas 26046,664553983,December 28 2013
Dorcas,Alphonse,Chiara,145142499,February 13 1961,0 Fm 1457  Texas 58398,790867340,August 16 1990
Lia,Hosea,Kilmartin,703525213,October 16 1982,   Texas 90032,820878726,July 5 1996
Aja,Lorie,Adamson,672495575,January 10 1953,0 Gresham Street WALLIS Texas 54371,792021084,December 20 1995
Allan,Denese,Cuoco,110282114,August 7 1985,108 Birch Street WALLIS Texas 62986,625512526,September 23 2003
Jed,Gwenda,Braham,969515943,May 10 1969,1100 Walton Road BELLVILLE Texas 55197,765427020,March 8 1989
Bettie,Harrison,Bauers,955532870,August 3 1995,348 Hill Street SEALY Texas 89465,510769319,July 22 1991
Nichole,Amira,Verros,796709476,June 29 1978,0 Old Nelsonville Road  Texas 20907,408933821,March 18 1994
Hyacinth,Dale,Pedone,789210637,June 2 1994,2024 Skalak Road NEW ULM Texas 24336,119197826,May 14 1999
Stormy,Sylvester,Stapel,168829358,September 4 1961,0 Viereck Road SEALY Texas 77587,431079005,May 30 2001
Sallie,Shawn,Fitchpatrick,733818948,August 22 1979,646 Houston Avenue CAT SPRING Texas 38939,242385393,October 30 2004
Joey,Marie,Mcintrye,506463082,March 22 1985,513 North Mechanic Street  Texas 81412,391641608,April 5 2016
Annett,Bernie,Ciarletta,865810056,August 8 1993,4255 Gajewski Road   Texas 21754,282007117,August 12 1988
Kandace,Santiago,Grussing,426260504,January 22 1995,3124 Willow Oak Lane SEALY Texas 70226,216486180,December 24 2007
Modesta,Gudrun,Polashek,907003998,July 18 1956,0 Skull Creek Road  Texas 16275,895987758,December 12 2014
Deon,Martin,Leblond,418878670,June 11 1966,0 Brast Road SEALY Texas 64453,381789204,June 7 2008
Maisha,Estella,Bussman,834551714,September 28 1950,   Texas 30588,860831501,December 28 2010
Ronna,Nakesha,Taybron,636069925,February 14 1961,6307 Dubose Street WALLIS Texas 17155,707070898,August 25 1994
Julian,Brinda,Reamy,685091530,April 12 1980,0 Grubbs Road @ Hoff Bottom SEALY Texas 57955,880678892,August 28 1994
Mauricio,Dorathy,Fitgerald,146966433,September 25 1955,0 Fm 2187  Texas 22036,464341100,November 14 1990
Lucie,Boyce,Mccree,593472612,June 6 1952,13232 Hahn Road SEALY Texas 75551,777616615,November 24 2010
Terrell,Lashell,Kuchenmeister,717291307,June 5 1973,3582 Mill Creek Road   Texas 86526,680718802,June 22 1996
Rolando,Monty,Maple,937957295,July 21 1989,0 Hay Road @ Highway 36 BELLVILLE Texas 14387,321525414,February 12 2005
Kurtis,Miquel,Blakelock,194905548,February 8 1993,7589 Hillview Road BELLVILLE Texas 89904,817405724,February 10 1991
Anastacia,Sebastian,Palk,736094228,January 14 1977,1296 Cemetery Road   Texas 10661,183824737,November 18 1991
Tran,Garland,Aures,548930447,December 5 1969,0 South Sycamore Crossing Road (Off Of BELLVILLE Texas 38087,561868440,June 7 1995
Myrtice,Sean,Reilly,552088019,December 12 1981,6365 Coshatte Road BELLVILLE Texas 60915,402565728,February 7 1986
Jewell,Thersa,Matranga,947994877,August 9 1984,419 South 6th Street WALLIS Texas 23289,790191197,March 29 2007
Rosemarie,Violette,Hok,595780289,October 14 1971,0 Jones Wilke Road  Texas 27057,218332839,March 27 1996
Dane,Napoleon,Stritzinger,183468922,May 23 1979,229 South Loop 497  Texas 28469,290162910,August 31 2006
Alberta,Elyse,Boisclair,453289135,August 4 1962,527 East Hacienda Street BELLVILLE Texas 44601,715418689,October 26 2002
Sidney,Denita,Mcglocklin,245563928,August 22 1981,1116 North Granville Street BELLVILLE Texas 30453,884809742,March 11 1990
Kirby,Cindie,Gerken,732605895,December 9 1989,6680 Odom Drive SEALY Texas 98476,582008375,April 12 1999
Hien,Ranae,Kristy,160800866,April 3 1954,3131 Johnston  Road BENARD Texas 27924,242515172,March 11 1995
Dorathy,Georgann,Oar,206381050,January 1 1968,   Texas 25904,280104497,April 22 1990
Stacie,Garnet,Pleitez,957654124,June 10 1978,0 Coralberry Lane (Off Of)  Texas 59169,990011500,June 14 1996
Verona,Celinda,Strohm,815799142,July 1 1969,902 South Tesch Street BELLVILLE Texas 48711,601286002,April 15 2011
Sylvia,Edgardo,Ouellete,369438195,January 7 1992,4175 Sealy Road SAN FELIPE Texas 71648,274490151,February 2 1995
Mafalda,Creola,Wendorff,970579890,June 7 1959,608 Shadowlake Court SEALY Texas 56912,230957438,March 5 2014
Leota,Brook,Wekenborg,728174425,March 19 1960,8701 Southeast I-10 Frontage Road SEALY Texas 20013,221666067,July 11 1997
Frank,Jinny,Nahl,952179174,December 31 1973,1430 Tauber Lane SEALY Texas 98427,471526336,April 27 2001
Natasha,Twanna,Critz,785901418,July 19 1950,0 Dierking Road BRENHAM Texas 59256,958331785,April 3 1996
Karlene,Santos,Tront,841309010,July 7 1981,0 Hwy36 WALLIS Texas 83812,596155893,March 15 1997
Terry,Viviana,Ulich,598505826,March 6 1992,0 Bob White Lane WALLIS Texas 14969,965923965,September 21 1999
Altagracia,Danielle,Hailey,642753394,June 5 1962,0 Selman Elementary SEALY Texas 20146,148769062,January 25 1995
Ranee,Margurite,Dormer,466670725,August 28 1969,1208 Tower Road WALLIS Texas 97372,390764462,February 23 1992
Lala,Joe,Pastula,345613673,August 4 1960,0 Lazy River Drive  Texas 70663,844413330,August 16 1996
Melania,Clarita,Gulbrandsen,886172893,February 27 1993,21068 Fm 1094 NEW ULM Texas 80485,396478484,October 20 2008
Tatum,Francisca,Pa,515749415,January 3 1991,1692 Gebhardt Road SEALY Texas 60118,295700308,April 28 2000
Cheryl,Georgina,Putz,269903581,August 4 1982,0 Hillboldt Road CAT SPRING Texas 12589,823873807,January 19 1988
Anna,Marcus,Riviezzo,179151710,March 6 1995,338 Manak Road  Texas 64416,826769692,March 12 1990
Charita,Suzy,Crusoe,763220497,August 6 1958,4152 Red Dog  Lane   Texas 10621,547211108,May 2 2015
Alix,Mercedes,Nicley,984845921,July 10 1984,146 Park Road 38  Texas 34100,284235916,February 16 1985
Louisa,Nathan,Roever,346332385,October 31 1964,0 Sycamore Road (Off Of) CAT SPRING Texas 85330,936922781,May 18 2003
Kellee,Bo,Carmicheal,677909249,September 19 1963,0 Mertz Lane  Texas 47441,405191096,November 28 1989
Lilia,Rhoda,Herriot,658328496,June 28 1984,1451 East School Road BELLVILLE Texas 58399,265742663,January 24 2002
Sandy,Keisha,Nunnelee,416229577,October 22 1989,4763 Front Street  Texas 30877,313079398,June 19 1987
Rubi,Meagan,Troup,360337501,July 14 1965,118 Lazy Lane SEALY Texas 49307,315884518,July 26 2010
Kayla,Loren,Augustus,407340657,July 1 1971,4819 Bleiblerville Road BLEIBLERVILLE Texas 53527,732830947,February 4 2010
Belva,Chrissy,Emeche,395466217,April 21 1986,0 Fm 1094 (Off Of) SEALY Texas 21912,152025189,October 11 2000
Herschel,Margery,Deen,757343803,January 27 1952,10819 Swearingen Road SEALY Texas 52506,513945376,February 14 2007
Armando,Barbara,Arnau,183148477,May 27 1993,2100 Stern Road (Washington Co CHAPPELL HILL Texas 36419,840774504,March 21 1996
Herschel,Samual,Sperlich,825558687,July 24 1974,6511 Mill Creek Road  Texas 86506,733324928,September 22 2005
Margurite,Hsiu,Piantanida,780033510,November 7 1956,9610 Hillboldt Road CAT SPRING Texas 96038,199098104,April 7 2009
Wynell,Paris,Plasse,283808149,August 4 1968,5944 Fm 109 NEW ULM Texas 83964,794846394,June 6 2016
Caprice,Britni,Tronnes,140457629,March 20 1987,   Texas 42988,998540123,May 1 2010
Marcella,Kay,Mcconathy,335500373,March 15 1974,2790 Settlers Way Drive SEALY Texas 27285,218386837,October 5 1986
Lou,Awilda,Stubbolo,850954749,February 5 1986,0 Fm 1456 BELLVILLE Texas 40935,900495016,July 25 2012
Sparkle,Kristopher,Casacchia,958975470,July 6 1957,448 Aspen Lane WALLIS Texas 46921,602922799,May 16 2002
Ayako,Mireya,Quist,196437927,March 21 1976,7742 Highway 36 North BELLVILLE Texas 20230,441316599,March 14 1985
Tijuana,Bennie,Quest,483670878,June 28 1966,0 Avenue G   Texas 55073,584241587,April 24 2011
Alfreda,Candace,Gandhy,234086166,March 7 1981,975 Houston Street NEW ULM Texas 54685,670526573,July 30 1986
Vickie,Maida,Magera,972957380,October 8 1973,2287 Johnston Road WALLIS Texas 32896,282752699,August 5 2014
Justin,Estelle,Indeck,315238493,January 27 1983,2405 East School Road BELLVILLE Texas 59808,396284074,December 6 2001
Georgiana,Bianca,Marcoguisepp,190118141,June 7 1957,617 Dogwood Court SEALY Texas 72131,838076626,September 18 1987
Magdalen,Walton,Doub,258567022,September 21 1988,0 Hintz Road  Texas 59640,139777322,October 29 2002
Santos,Robt,Privado,934686649,December 15 1967,   Texas 89995,858911050,May 2 2003
Lavona,Johnsie,Hudecek,659488561,November 29 1988,4410 Star Hill Road NEW ULM Texas 64181,704161309,July 7 2016
Long,Marquis,Silvano,705716437,March 10 1990,0 Madison Avenue @ Track Road CAT SPRING Texas 38243,125712290,March 18 2005
Karly,Savannah,Perrott,933389211,March 10 1964,0 Frantz Road  (Off Of) CAT SPRING Texas 20079,738643236,December 8 2009
Zenaida,Benny,Diez,831698559,November 23 1969,710 North Fowlkes Street SEALY Texas 64844,383753484,November 21 2014
Marianne,Renna,Dubuc,163172434,January 17 1955,0 North Fm 331 BELLVILLE Texas 41279,518547353,April 29 2014
Fredda,Deedee,Stumpf,888638586,April 17 1962,2944 River Bend Lane SEALY Texas 21519,161086026,June 19 2009
Contessa,Lesa,Forbs,926479806,July 5 1967,803 Nelson Street SEALY Texas 82865,166599676,November 12 2016
Kathrine,Jacob,Klingen,447801656,December 8 1979,   Texas 67136,562983164,May 28 2016
Emery,Kyung,Cottam,753445301,March 10 1969,975 Houston Street NEW ULM Texas 73794,737873247,May 6 2010
Buena,Sarita,Harradine,372071356,November 17 1967,0 1st Street  Texas 45890,596915277,July 21 1989
Rosalee,Winston,Dekrey,942985258,February 8 1972,7787 Tri-Party Lane BELLVILLE Texas 82723,364127903,September 2 2015
Christeen,Mistie,Bagdon,738671195,May 28 1992,8177 South Rocky Road BRENHAM Texas 38499,602515467,February 13 2014
Deloise,Krystal,Houle,692541339,December 4 1951,10206 Fm 529 BELLVILLE Texas 15056,965651629,June 28 2003
Shalanda,Angeles,Lancz,559780376,December 12 1953,212 Briarwood Drive BELLVILLE Texas 62933,124048176,July 29 1999
Ettie,Tomiko,Clabough,863215527,November 13 1981,   Texas 39694,457841613,January 3 2007
Wei,Holly,Pucci,709637303,November 15 1960,0 Koehn Road (Off Of) BELLVILLE Texas 50074,210487869,January 4 1987
Meridith,Conchita,Piehler,466883288,May 12 1990,963 North Mechanic Street BELLVILLE Texas 86098,203012827,April 23 1991
Zulma,Vergie,Staneart,935055809,April 8 1976,0 Dockal  Road  Texas 46312,144530625,May 5 2007
Wilson,Eugena,Oyler,973851373,April 27 1960,1251 Tower Road WALLIS Texas 38146,837342922,August 31 2016
Lorri,Asia,Hagman,818553095,November 21 1959,0 Johnston Road WALLIS Texas 74368,237968590,May 14 1991
Margarito,Anton,Levister,765833924,January 20 1993,508 Columbus Road  Texas 22068,870192095,February 1 2009
Georgina,Jarvis,Gushard,301871505,August 21 1962,1737 Lakeview Drive SEALY Texas 21244,330313065,February 24 1991
